# Time(s) Gyro_X Gyro_Y Gyro_Z Acc_X Acc_Y Acc_Z
0.760000 0.00028470 0.00117960 -0.00153037 0.002228 -0.014743 -10.291754
0.770000 0.00121646 0.00054557 -0.00145160 0.022957 -0.004907 -10.290095
0.780000 0.00314394 0.00113392 -0.00282514 0.010145 -0.025148 -10.293525
0.790000 0.00118645 -0.00016179 0.00005243 0.029905 -0.013566 -10.312429
0.800000 0.00020748 0.00038526 -0.00029501 0.009528 -0.008085 -10.300136
0.810000 0.00186576 -0.00070030 -0.00113450 0.021180 -0.004346 -10.308672
0.820000 0.00052505 -0.00015333 0.00096545 0.015858 -0.020229 -10.293096
0.830000 0.00140498 -0.00076088 0.00011786 0.027729 -0.029803 -10.296705
0.840000 0.00312216 0.00153247 -0.00231937 0.028693 -0.033548 -10.297294
0.850000 0.00051577 0.00176691 -0.00150767 0.007842 -0.021416 -10.321700
0.860000 0.00144382 0.00127463 -0.00172693 0.033927 -0.018558 -10.304722
0.870000 0.00094047 -0.00274127 -0.00182439 0.023283 -0.025423 -10.308022
0.880000 0.00074743 -0.00074778 0.00083241 0.035103 0.003087 -10.302571
0.890000 -0.00043014 0.00005996 -0.00066926 0.030674 -0.011440 -10.310788
0.900000 0.00244127 -0.00093586 0.00036316 0.010719 0.000511 -10.310918
0.910000 0.00101023 -0.00048151 -0.00033790 0.042810 -0.020714 -10.280842
0.920000 0.00119906 -0.00010022 -0.00073020 0.016944 -0.007001 -10.282700
0.930000 0.00061469 0.00061352 -0.00013787 0.033900 -0.020844 -10.305224
0.940000 0.00258602 -0.00073782 0.00133303 0.019188 -0.028005 -10.294257
0.950000 -0.00095209 0.00034821 -0.00021168 0.011792 -0.004173 -10.302351
0.960000 0.00128099 -0.00012270 -0.00100812 0.002577 -0.000991 -10.294816
0.970000 0.00050700 -0.00008936 0.00004960 0.020291 -0.004056 -10.287934
0.980000 0.00135702 -0.00019291 0.00009960 0.012381 -0.019498 -10.307780
0.990000 0.00130730 0.00131286 -0.00017037 0.005355 -0.009214 -10.292728
1.000000 0.00017100 -0.00006018 -0.00005271 0.027608 -0.002184 -10.288905
1.010000 0.00161037 0.00047910 -0.00068267 0.028635 -0.035780 -10.299720
1.020000 0.00227766 -0.00009157 -0.00025290 0.029646 -0.026682 -10.295733
1.030000 0.00079781 0.00028232 0.00029878 0.025195 -0.010571 -10.292962
1.040000 0.00182542 0.00131351 0.00050548 0.025989 -0.013193 -10.311279
1.050000 0.00102100 0.00118195 -0.00111027 0.025070 -0.012153 -10.311147
1.060000 0.00132417 0.00036986 -0.00070300 0.033797 -0.009662 -10.310453
1.070000 0.00159516 -0.00031822 0.00129239 0.011828 -0.020641 -10.302298
1.080000 -0.00000602 -0.00071419 0.00035811 0.022931 -0.024764 -10.285369
1.090000 0.00179166 0.00112412 -0.00017165 0.030458 -0.008807 -10.296208
1.100000 0.00098775 -0.00039725 -0.00072420 0.029374 -0.017759 -10.303895
1.110000 0.00032284 0.00147512 -0.00094706 0.031901 -0.011825 -10.303491
1.120000 0.00017450 0.00017861 -0.00038707 0.015823 -0.022364 -10.276428
1.130000 0.00043628 -0.00032222 -0.00055631 0.020041 -0.013422 -10.289438
1.140000 0.00124497 -0.00000694 -0.00127104 0.007846 -0.004035 -10.302728
1.150000 0.00123205 -0.00094808 -0.00220746 0.038300 -0.018127 -10.286274
1.160000 0.00028156 0.00028655 -0.00048909 -0.004968 -0.026751 -10.299586
1.170000 0.00247536 0.00135766 -0.00095994 -0.000308 -0.008991 -10.293520
1.180000 0.00098098 -0.00050253 -0.00081851 0.010092 -0.015160 -10.288585
1.190000 0.00071134 0.00082272 -0.00162723 -0.001030 -0.027735 -10.300001
1.200000 0.00151935 0.00203274 -0.00090876 0.020237 -0.015586 -10.287757
1.210000 0.00140171 0.00119014 -0.00120122 0.024772 -0.008034 -10.310549
1.220000 0.00122409 0.00051259 -0.00070232 0.021448 -0.018071 -10.282029
1.230000 0.00022699 0.00052451 -0.00030200 0.021744 -0.021691 -10.288125
1.240000 0.00245114 0.00145927 0.00135318 0.025633 -0.023216 -10.300135
1.250000 0.00023265 0.00137232 -0.00061666 0.016686 -0.002725 -10.294618
1.260000 0.00318980 -0.00030830 -0.00163972 0.027268 -0.019933 -10.293302
1.270000 0.00040061 -0.00162390 -0.00132576 0.033034 -0.018611 -10.295498
1.280000 0.00024087 0.00065039 -0.00045824 0.006367 -0.022656 -10.299994
1.290000 0.00287617 0.00145042 -0.00137690 0.009392 -0.001780 -10.305030
1.300000 0.00010159 0.00099192 -0.00212023 0.027868 -0.013132 -10.296341
1.310000 0.00283146 0.00167944 -0.00126918 0.034862 -0.037606 -10.298612
